Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDU09,OUT045,874.7169126
FDT13,OUT018,3037.390196
FDE09,OUT046,1784.1807
NCK53,OUT019,241.2583939
FDG45,OUT049,3524.045363
DRH15,OUT035,682.7601562
FDO21,OUT019,570.730114
FDD14,OUT027,5139.191699
FDC09,OUT046,1693.372612
FDH45,OUT027,979.4874883
FDV32,OUT046,1169.49696
FDG12,OUT035,1995.761886
FDS32,OUT013,2152.919203
NCL55,OUT018,3720.234974
DRE01,OUT035,3854.573374
DRE15,OUT049,1220.737295
NCL42,OUT045,4008.533481
FDP31,OUT013,1252.299114
FDN33,OUT018,1395.698354
FDZ59,OUT046,2538.400651
FDE45,OUT010,421.136916
FDJ07,OUT013,1982.076346
FDQ45,OUT018,3042.351634
FDM33,OUT027,5858.828523
FDO15,OUT010,156.0995944
FDM46,OUT013,1454.709166
FDR03,OUT045,3452.356539
FDY49,OUT018,2689.658786
FDQ60,OUT045,1905.640824
FDW10,OUT049,2729.391478
FDO51,OUT049,692.6637413
FDJ40,OUT018,1620.59531
FDS20,OUT018,3086.735491
FDU45,OUT013,1865.368311
FDV02,OUT035,2783.390182
FDN09,OUT046,3962.299112
NCM55,OUT027,5139.191699
FDN23,OUT018,2342.301525
FDY31,OUT010,369.6808817
FDW03,OUT010,237.8517496
FDD14,OUT046,3069.194436
FDV23,OUT017,1981.276246
DRI03,OUT045,2846.733742
FDN13,OUT035,1562.639913
FDF45,OUT027,1309.284654
FDU46,OUT035,1350.798449
FDB57,OUT049,3699.040152
FDV12,OUT049,1546.234917
FDQ58,OUT013,2380.507611
NCA18,OUT017,1828.253325
FDH52,OUT049,997.6308847
FDM24,OUT018,2332.786954
NCP43,OUT027,4830.565958
NCO18,OUT019,420.1554484
FDM32,OUT017,1368.554259
NCL07,OUT017,591.4616824
FDK03,OUT013,4012.814879
FDP59,OUT017,1668.548429
FDQ24,OUT049,4091.479454
FDQ16,OUT018,1564.1835
FDU44,OUT013,2543.361857
FDH28,OUT010,129.650948
FDV28,OUT019,129.650948
FDM22,OUT045,874.4067746
FDR56,OUT046,3104.07328
FDV39,OUT049,3060.465218
FDU37,OUT019,171.2090772
FDQ11,OUT010,571.6494861
FDX02,OUT045,3777.054436
NCS42,OUT018,1408.409046
FDY57,OUT027,2832.612408
FDB21,OUT049,3782.420964
FDE28,OUT017,3806.165305
FDQ55,OUT017,2005.862745
FDA48,OUT049,3549.810901
FDZ19,OUT045,2781.486568
NCC43,OUT045,3906.957084
NCV18,OUT046,1394.816116
NCA42,OUT018,2476.307336
FDY45,OUT046,4176.732768
NCC30,OUT045,2886.760715
FDM57,OUT013,1402.730877
FDL09,OUT010,386.2099969
FDB09,OUT027,3014.371361
FDT44,OUT035,1891.188018
NCT06,OUT027,4265.839568
FDX26,OUT049,3237.349027
FDK32,OUT013,2479.59678
DRA12,OUT046,2146.666678
FDO46,OUT010,487.7661805
FDE52,OUT013,1388.214733
NCH42,OUT045,3874.729286
FDV08,OUT035,621.5734785
FDB47,OUT018,3357.650555
FDC28,OUT010,255.3252165
FDD22,OUT046,1903.472163
FDS07,OUT027,2931.949422
DRI13,OUT045,3682.163708
FDG32,OUT018,3437.072226
FDU14,OUT017,4095.125656
FDD28,OUT019,129.650948
NCP41,OUT017,1663.644067
FDS08,OUT049,2764.710302
FDX47,OUT045,2475.693313
FDC53,OUT019,241.2583939
FDQ19,OUT035,4095.657021
FDL14,OUT045,2411.145673
FDM33,OUT019,572.2167696
FDA51,OUT045,1864.708744
FDZ27,OUT018,763.0918708
FDT04,OUT046,666.1982194
DRC13,OUT049,2068.474144
FDR16,OUT027,5858.828523
FDQ03,OUT027,5858.828523
FDE38,OUT035,2619.908776
DRH23,OUT027,1263.959235
FDT11,OUT019,486.8468084
FDD09,OUT035,3006.709013
FDR40,OUT045,1351.088408
FDX07,OUT017,3007.152445
FDR07,OUT035,1550.899799
FDA51,OUT017,1864.187641
FDT59,OUT019,570.2467329
FDF20,OUT017,3053.191444
FDR13,OUT045,1934.618926
FDY26,OUT049,3618.239759
FDW04,OUT017,1983.749926
FDK52,OUT017,3781.674972
FDN60,OUT049,2610.666164
FDM09,OUT019,401.8494156
FDP46,OUT049,1328.356002
FDB50,OUT019,171.2090772
NCQ29,OUT049,4005.996233
FDP16,OUT027,5858.828523
FDX33,OUT018,2426.652542
FDP07,OUT010,503.635381
FDN22,OUT046,3887.259625
FDF39,OUT049,4195.476009
FDS21,OUT017,964.1545234
NCM42,OUT013,1717.970875
FDK50,OUT019,384.3665026
DRF13,OUT027,4067.407242
FDH35,OUT018,2412.974382
FDP60,OUT018,1487.899891
DRJ49,OUT027,3014.371361
NCT42,OUT019,371.0654422
FDE38,OUT049,2608.7964
FDI04,OUT049,3148.072473
NCH54,OUT045,2648.67407
FDT56,OUT049,946.6259682
DRD15,OUT018,3490.541588
FDV58,OUT013,2985.278189
FDP21,OUT049,3246.217284
FDH05,OUT013,3650.767579
FDR10,OUT027,4241.591331
NCP06,OUT045,2516.644593
FDF33,OUT049,1622.646687
DRK37,OUT013,3167.015053
DRH49,OUT045,1291.30016
FDT58,OUT013,2595.771217
FDD41,OUT018,1646.995154
FDP40,OUT018,1711.945395
FDM51,OUT027,2858.055757
FDO45,OUT010,202.1560268
FDW33,OUT010,237.8517496
FDY24,OUT045,873.4352729
FDB10,OUT010,573.1361417
FDM40,OUT035,2072.752787
NCI06,OUT017,3129.75815
FDW12,OUT019,338.5591791
FDX48,OUT027,4095.76768
NCW05,OUT027,2884.775145
FDX27,OUT017,1537.228979
DRM37,OUT045,3099.035714
FDA38,OUT045,4027.862779
FDR36,OUT046,667.1260427
FDZ45,OUT046,3178.741588
FDG05,OUT017,2514.962611
FDK28,OUT013,4280.601628
FDV47,OUT045,1332.65402
FDN21,OUT045,2621.749959
FDP20,OUT027,3014.371361
FDI35,OUT045,3174.021249
DRY23,OUT013,729.3270327
FDA56,OUT017,2028.151577
FDB09,OUT013,1986.344495
NCO26,OUT027,2939.154205
FDQ49,OUT018,2416.356604
FDI52,OUT027,2986.446555
FDZ44,OUT027,2939.154205
FDZ09,OUT018,2453.855291
FDY03,OUT049,1895.021409
NCG42,OUT017,2058.695552
DRI13,OUT027,5858.828523
FDQ32,OUT013,2056.596053
FDW16,OUT035,1381.799038
FDU27,OUT046,798.0559407
FDR28,OUT010,383.5340997
FDQ49,OUT010,380.8194788
FDS37,OUT046,1987.695542
FDW26,OUT018,3404.046493
FDX12,OUT018,3641.283132
NCP06,OUT013,2441.209901
FDW45,OUT010,368.2494427
NCN30,OUT049,1450.361729
FDN24,OUT049,890.5764569
NCL41,OUT027,968.3500751
FDR02,OUT019,258.3817073
FDD09,OUT010,434.3451765
FDS33,OUT010,202.1560268
FDU22,OUT045,1951.895446
FDI53,OUT013,2499.577199
DRH01,OUT049,2776.697861
FDX32,OUT013,2191.3215
NCP30,OUT018,594.7828108
FDB60,OUT045,2997.441187
FDB14,OUT049,1422.292559
NCP02,OUT035,876.6683367
FDJ10,OUT017,2042.772052
FDG34,OUT046,1807.496863
NCB18,OUT017,1334.666804
FDM16,OUT049,1134.969567
FDW25,OUT018,1323.234698
FDB35,OUT010,219.0289199
DRN11,OUT013,2145.524248
FDF41,OUT019,572.2167696
FDH16,OUT045,1385.59079
NCQ50,OUT018,3370.307839
DRH23,OUT018,907.2049744
DRJ37,OUT013,2334.528745
DRJ24,OUT027,5139.191699
FDY16,OUT035,3094.207794
FDQ27,OUT045,1769.621533
FDZ33,OUT045,2450.176153
FDF29,OUT045,2124.989771
FDA08,OUT049,2555.208921
FDG31,OUT046,1158.502067
FDE34,OUT019,459.1589302
NCR30,OUT027,1493.501211
FDV33,OUT035,4240.901779
DRZ24,OUT018,1873.680566
NCL54,OUT035,2873.03154
FDR12,OUT049,2946.876537
NCC54,OUT046,3770.113714
DRN59,OUT013,828.4077659
FDX50,OUT019,261.0547013
FDV31,OUT027,4815.342931
NCA29,OUT027,4351.922139
FDW60,OUT049,2896.295425
FDX08,OUT017,3162.931501
DRD49,OUT013,3722.27467
FDD33,OUT046,3604.769717
FDW35,OUT013,721.6379797
FDJ36,OUT017,1697.127952
FDV51,OUT035,2776.778202
FDW36,OUT046,1635.100566
FDH35,OUT046,2578.565671
NCS30,OUT027,3014.371361
FDN49,OUT017,605.768646
FDL08,OUT018,3612.414488
FDI09,OUT013,3783.254288
FDP19,OUT018,1941.275226
FDU21,OUT010,129.650948
NCP41,OUT045,1644.813507
FDY10,OUT013,1815.338023
FDP12,OUT018,564.6852741
NCN26,OUT049,2002.511575
FDK44,OUT013,2777.620014
FDC28,OUT049,1617.739784
FDJ41,OUT027,5858.828523
NCT29,OUT035,1917.325937
NCH42,OUT019,570.730114
FDU60,OUT018,2537.1645
FDS02,OUT045,3098.208467
FDC51,OUT046,2118.227561
FDU03,OUT013,3064.339408
FDX39,OUT045,3692.639069
NCY05,OUT010,129.650948
NCL06,OUT027,5858.828523
FDD32,OUT035,1256.89902
NCN41,OUT045,1968.845119
NCX53,OUT049,2220.483479
FDU57,OUT019,371.0654422
FDQ23,OUT046,1700.494798
FDQ52,OUT045,3966.925508
FDC14,OUT045,625.0137314
FDY09,OUT035,2965.496131
FDQ28,OUT045,2612.96931
FDV25,OUT046,3675.573504
FDJ07,OUT035,1963.617382
DRB25,OUT049,1567.793818
FDK52,OUT019,572.2167696
FDY52,OUT027,1408.000808
FDB28,OUT046,3134.68647
FDT36,OUT035,587.2523205
FDV25,OUT017,3782.721411
NCN07,OUT027,3014.371361
FDC57,OUT017,2999.841507
FDQ03,OUT018,3548.711933
FDU23,OUT017,2857.649685
NCX41,OUT035,3698.730731
NCD06,OUT035,760.225173
FDW08,OUT045,1612.840165
NCU29,OUT017,2444.879045
NCE06,OUT013,2456.678713
FDV52,OUT010,270.267967
FDB02,OUT017,2916.207799
NCR18,OUT045,642.7341169
FDK16,OUT049,1463.011148
NCQ29,OUT010,573.6195228
FDZ01,OUT019,244.2583002
FDW27,OUT035,2471.406662
FDD17,OUT018,3602.825584
FDW39,OUT013,2836.291849
DRH59,OUT045,1139.605829
FDS52,OUT013,1657.851203
FDU40,OUT027,5755.617709
NCF54,OUT013,2738.580335
FDH46,OUT045,1774.949524
NCP14,OUT049,1677.10042
FDH50,OUT049,3275.878304
DRF15,OUT010,369.8610511
FDV27,OUT027,2479.494775
NCJ06,OUT049,2149.802375
FDN02,OUT018,3244.126531
FDQ51,OUT049,795.1182186
FDQ07,OUT017,3731.712113
FDS45,OUT049,1658.661344
NCJ06,OUT045,2088.119929
FDD36,OUT035,2019.099816
FDY25,OUT045,3184.09583
FDU52,OUT046,2332.068009
DRK47,OUT017,3822.991474
NCL30,OUT017,2029.488509
FDN22,OUT035,3932.466771
NCF30,OUT027,3014.371361
FDK03,OUT035,4116.813977
FDT45,OUT017,867.1072725
NCC54,OUT027,5858.828523
FDP08,OUT018,2945.692711
FDU44,OUT046,2641.815145
DRG39,OUT035,840.9574552
FDU32,OUT049,2094.05616
FDY27,OUT049,2965.852175
NCP54,OUT013,2092.073091
NCZ41,OUT049,2061.411467
DRL49,OUT013,2251.032766
FDI05,OUT018,1265.650639
FDY56,OUT045,3913.752891
DRC13,OUT013,2014.076487
NCV29,OUT017,2988.327515
FDR24,OUT049,1345.404777
FDZ34,OUT018,3082.935329
FDP37,OUT035,1995.885393
FDX08,OUT027,4830.565958
FDS57,OUT045,2081.761826
NCG18,OUT049,1619.890408
FDK25,OUT018,2634.0377
FDH53,OUT049,1221.978401
DRI59,OUT018,3455.695403
FDA52,OUT046,2798.060073
FDT20,OUT010,129.650948
FDE36,OUT019,385.4641368
FDI24,OUT017,2804.919533
FDB28,OUT018,3088.001216
FDV11,OUT017,2807.851363
FDP01,OUT046,2517.852369
FDD34,OUT027,4241.591331
FDJ50,OUT027,1103.147073
FDZ44,OUT013,1918.044869
DRO59,OUT035,1199.268717
DRB48,OUT045,625.1206787
FDR21,OUT018,2650.057128
NCE42,OUT010,571.6494861
FDO23,OUT046,1460.145032
NCE30,OUT018,3345.160743
FDQ22,OUT035,581.7260139
FDY01,OUT045,1865.5986
FDS08,OUT017,2775.689543
FDG28,OUT018,3626.998178
FDQ51,OUT018,756.9334673
FDB05,OUT017,3996.12976
FDO56,OUT049,1943.793713
FDE02,OUT018,1393.327959
FDN45,OUT017,3700.522293
FDS09,OUT013,839.1349071
NCA54,OUT018,2959.515562
FDP09,OUT010,569.8721919
FDC53,OUT045,1549.190317
NCM55,OUT017,3215.281202
FDL09,OUT018,2610.956191
FDA11,OUT019,226.3542509
FDA50,OUT045,1527.35009
FDC23,OUT017,2904.487643
FDE22,OUT049,2549.212184
FDD23,OUT046,3258.531832
NCA29,OUT049,2978.805675
FDK38,OUT046,2353.719351
DRC13,OUT046,2066.421943
NCP43,OUT049,2875.600306
FDX28,OUT049,1532.296716
FDF08,OUT049,1345.902218
FDZ33,OUT046,2414.462841
FDD10,OUT049,2807.566783
FDO58,OUT017,2648.503716
FDI50,OUT017,3950.322758
FDO58,OUT045,2675.493979
FDX08,OUT013,3107.105136
NCK17,OUT010,129.650948
FDF39,OUT035,4218.50602
FDU45,OUT010,264.7338791
NCJ18,OUT018,1811.293674
DRC27,OUT019,570.2467329
DRC25,OUT035,1386.924339
FDU59,OUT035,2471.459648
FDU28,OUT035,3033.203233
NCP30,OUT046,660.4536554
FDB39,OUT018,897.4408636
FDE41,OUT013,1417.375912
DRH11,OUT010,129.650948
FDA58,OUT045,3785.084674
FDU50,OUT046,1903.930025
FDM34,OUT013,2059.404406
FDM44,OUT027,2858.055757
FDR39,OUT045,3032.29633
FDM25,OUT045,2785.443314
FDQ49,OUT049,2494.81045
DRH25,OUT018,834.1441047
FDM09,OUT027,4285.963072
FDL44,OUT019,380.351258
NCR42,OUT018,567.6850788
DRL59,OUT046,934.1281438
FDX43,OUT013,2620.114593
DRK47,OUT010,573.1361417
FDU48,OUT018,1946.688206
FDY12,OUT045,767.8095598
NCN43,OUT018,1963.749104
NCM55,OUT018,3105.74093
FDQ21,OUT027,2995.852183
FDX13,OUT035,4177.811684
NCK30,OUT027,5858.828523
FDG20,OUT049,2822.330431
DRG27,OUT017,619.4036381
FDY14,OUT018,3922.717108
FDP59,OUT035,1674.874432
FDU60,OUT017,2735.467851
NCC18,OUT019,410.6889265
DRJ39,OUT017,3756.770551
FDS07,OUT049,1907.775885
FDM08,OUT027,5858.828523
FDP51,OUT045,1957.513589
FDU16,OUT035,1313.230841
FDH12,OUT013,1640.054282
DRE48,OUT010,504.8288968
NCL42,OUT027,5858.828523
FDR21,OUT045,2736.264707
